Product_Name,Brand_Name,Model_Code,Category,Price_THB,Product_URL,Source,Collection_Date,Normalized_Category
เหล็กตัวซี เคลือบสีรองพื้น ยาว 6 เมตร,OneStockHome,70060169.0,steel,1.63,https://www.onestockhome.com/th/products/34271469/paint-coated-lip-channel-steel_paint-coated-pipes_pap-pacific-pipe,OneStockHome,2026-04-30,Steel
เหล็กกล่อง แป๊บเหลี่ยม ความหนาอื่นๆ,OneStockHome,76489019.0,steel,8.3,https://www.onestockhome.com/th/products/38429061/square-pipe_steel_onestockhome,OneStockHome,2026-04-30,Steel
ท่อเหล็กแบน เคลือบสีกันสนิม สีแดง 2x1 นิ้ว 50x25 มม.,OneStockHome,77741060.0,steel,9.31,https://www.onestockhome.com/th/products/713800/rectangular-pipe-coated-red-2x1-inches-50x25-mm_p-coat-18cfd6ac-02ea-45b5-b3e8-131d79d2a53f_pap-pacific-pipe?item_id=77741060,OneStockHome,2026-04-30,Steel
ท่อกลม เคลือบสีรองพื้นกันสนิม ยาว 6 เมตร,OneStockHome,19441633.0,steel,2.61,https://www.onestockhome.com/th/products/99828460/p-coat-round-pipe_paint-coated-pipes_pap-pacific-pipe,OneStockHome,2026-04-30,Steel
ท่อเหล็กแบน เคลือบสีกันสนิม สีแดง 4x2 นิ้ว 100x50 มม.,OneStockHome,58921816.0,steel,16.52,https://www.onestockhome.com/th/products/64839136/rectangular-pipe-coated-red-4x2-inches-100x50-mm_p-coat-18cfd6ac-02ea-45b5-b3e8-131d79d2a53f_pap-pacific-pipe?item_id=58921816,OneStockHome,2026-04-30,Steel
ท่อเหล็กแบน เคลือบสีกันสนิม สีแดง 3x1.5 นิ้ว 75x38 มม.,OneStockHome,26171410.0,steel,11.3,https://www.onestockhome.com/th/products/69472826/rectangular-pipe-coated-red-3x1-12-inches-75x38-mm_p-coat-18cfd6ac-02ea-45b5-b3e8-131d79d2a53f_pap-pacific-pipe?item_id=26171410,OneStockHome,2026-04-30,Steel
เหล็กกล่อง เคลือบสีรองพื้นกันสนิม ยาว 6 เมตร,OneStockHome,64149309.0,steel,3.17,https://www.onestockhome.com/th/products/48527691/p-coat-square_steel_pap-pacific-pipe?item_id=64149309,OneStockHome,2026-04-30,Steel
เหล็กเอชบีม HB SYS PB ทำสีรองพื้นกันสนิม ยาว 6 เมตร,SYS,25099788.0,steel,12365.22,https://www.onestockhome.com/th/products/40914022/h-beam-primer-bond-budget_h-beam_sys-primerbond-budget_sys?item_id=25099788,OneStockHome,2026-04-30,Steel
เหล็กกล่อง เคลือบสีรองพื้นกันสนิม ยาว 6 เมตร,OneStockHome,84842545.0,steel,2.46,https://www.onestockhome.com/th/products/48527691/p-coat-square_steel_pap-pacific-pipe?item_id=84842545,OneStockHome,2026-04-30,Steel
แป๊บแบน เคลือบสีรองพื้นกันสนิม,แป๊บแบน,5987323.0,steel,5987323.0,https://www.onestockhome.com/th/products/26258450/p-coat-rectangular-pipe_paint-coated-pipes_pap-pacific-pipe?item_id=5987323,OneStockHome,2026-04-30,Steel
ท่อเหล็กแบน เคลือบสีกันสนิม สีแดง 2x1 นิ้ว 50x25 มม.,OneStockHome,94032652.0,steel,7.99,https://www.onestockhome.com/th/products/713800/rectangular-pipe-coated-red-2x1-inches-50x25-mm_p-coat-18cfd6ac-02ea-45b5-b3e8-131d79d2a53f_pap-pacific-pipe?item_id=94032652,OneStockHome,2026-04-30,Steel
ท่อกลม เคลือบสีรองพื้นกันสนิม ยาว 6 เมตร,OneStockHome,49859180.0,steel,3.01,https://www.onestockhome.com/th/products/99828460/p-coat-round-pipe_paint-coated-pipes_pap-pacific-pipe?item_id=49859180,OneStockHome,2026-04-30,Steel
